2019-02-19 10:46:42.5969 | ERROR | GreenAPI.Controllers.PaymeentController | Error |  

2019-02-19 10:46:42.5969 | FATAL | GreenAPI.Controllers.PaymeentController | Fatal |  

2019-02-19 11:00:34.7229 | ERROR | GreenAPI.Controllers.PaymeentController | Error |  

2019-02-19 11:00:34.7229 | FATAL | GreenAPI.Controllers.PaymeentController | Fatal |  

2019-02-19 11:00:44.5092 | ERROR | GreenAPI.Controllers.PaymeentController | Error |  

2019-02-19 11:00:44.5092 | FATAL | GreenAPI.Controllers.PaymeentController | Fatal |  

2019-02-19 11:01:49.4481 | ERROR | GreenAPI.Controllers.PaymeentController | Error |  

2019-02-19 11:01:49.4481 | FATAL | GreenAPI.Controllers.PaymeentController | Fatal |  

2019-02-19 11:02:48.5148 | ERROR | GreenAPI.Controllers.PaymeentController | model |  

2019-02-19 11:02:48.5148 | FATAL | GreenAPI.Controllers.PaymeentController | model |  

2019-02-19 11:05:49.9776 | ERROR | GreenAPI.Controllers.PaymeentController | model |  

2019-02-19 11:05:49.9776 | FATAL | GreenAPI.Controllers.PaymeentController | model |  

2019-02-19 11:06:28.4068 | ERROR | GreenAPI.Controllers.PaymeentController | model |  

2019-02-19 11:06:28.4068 | FATAL | GreenAPI.Controllers.PaymeentController | model |  

2019-02-19 11:23:46.4100 | ERROR | GreenAPI.Controllers.PaymeentController | model |  

2019-02-19 11:27:40.3460 | ERROR | GreenAPI.Controllers.PaymeentController | m |  

2019-02-19 11:31:54.1927 | ERROR | GreenAPI.Controllers.PaymeentController | o |  

2019-02-19 11:31:54.2216 | ERROR | GreenAPI.Controllers.PaymeentController | e |  

2019-02-19 11:58:35.8242 | ERROR | GreenAPI.Controllers.PaymeentController | d |  

2019-02-19 15:44:35.8075 | ERROR | GreenAPI.Controllers.PaymeentController | d |  

2019-02-19 16:21:41.4502 | ERROR | GreenAPI.Controllers.PaymeentController | d |  

2019-02-19 16:40:47.5453 | ERROR | GreenAPI.Controllers.PaymeentController | d |  

2019-02-19 16:42:02.0027 | ERROR | GreenAPI.Controllers.PaymeentController | d |  

